head,relation,tail
Method_margin,EVALUATES,Task_evaluation
2012.00404,PROPOSED,Method_dft
2012.00404,RESEARCH_ON,Task_operty
Method_dft,EVALUATES,Task_operty
2408.07608,BELONGS_TO,Technology_slices
2408.07608,BELONGS_TO,Technology_mattergpt
2204.03276,BELONGS_TO,Technology_pondernet
2204.03276,RESEARCH_ON,Task_teaching
Technology_pondernet,BELONGS_TO,Task_teaching
2211.00083,BELONGS_TO,Technology_nlp
2304.13712,BELONGS_TO,Technology_ll
2304.13712,RESEARCH_ON,Task_nlp
Technology_ll,BELONGS_TO,Task_nlp
2005.06916,BELONGS_TO,Technology_nlp
2007.04300,BELONGS_TO,Technology_deep
2203.07643,RESEARCH_ON,Task_mt
2407.00248,BELONGS_TO,Technology_diffusedef
2407.00248,PROPOSED,Method_diffusedef
2407.00248,RESEARCH_ON,Task_diffusedef
Method_diffusedef,USES,Technology_diffusedef
Method_diffusedef,EVALUATES,Task_diffusedef
Technology_diffusedef,BELONGS_TO,Task_diffusedef
1011.3258,BELONGS_TO,Technology_lt
1011.3258,BELONGS_TO,Technology_ontology
2401.16515,BELONGS_TO,Technology_ai
2306.10634,PROPOSED,Method_e-processing
2009.05639,BELONGS_TO,Technology_tree-lstm
2305.11598,BELONGS_TO,Technology_llm
2301.11004,BELONGS_TO,Technology_computational
2306.02887,BELONGS_TO,Technology_generative
1810.08838,PROPOSED,Method_machine
2108.02572,BELONGS_TO,Technology_singa-easy
2108.02572,BELONGS_TO,Technology_apache
2105.09043,RESEARCH_ON,Task_uit-vinewsqa
2502.00857,BELONGS_TO,Technology_python
2502.00857,PROPOSED,Method_python
Method_python,USES,Technology_python
2310.16607,BELONGS_TO,Technology_nlp
2310.16607,BELONGS_TO,Technology_bios
2310.16607,PROPOSED,Method_rationale
Method_rationale,USES,Technology_nlp
Method_rationale,USES,Technology_bios
1812.06974,PROPOSED,Method_lexical
1903.11340,PROPOSED,Method_writing
1903.11340,PROPOSED,Method_lemmatization
1903.11340,RESEARCH_ON,Task_multilevel
Method_writing,IMPROVES,Method_lemmatization
Method_writing,EVALUATES,Task_multilevel
Method_lemmatization,IMPROVES,Method_writing
Method_lemmatization,EVALUATES,Task_multilevel
2210.02570,RESEARCH_ON,Task_dropout
1906.01910,BELONGS_TO,Technology_nex-cv
1906.01910,PROPOSED,Method_nex-cv
Method_nex-cv,USES,Technology_nex-cv
1711.02799,BELONGS_TO,Technology_fwl
2405.02132,BELONGS_TO,Technology_test
2405.02132,BELONGS_TO,Technology_aishell-1
2405.02132,BELONGS_TO,Technology_test
2405.02132,RESEARCH_ON,Task_nlp
Technology_test,BELONGS_TO,Task_nlp
Technology_aishell-1,BELONGS_TO,Task_nlp
Technology_test,BELONGS_TO,Task_nlp
2404.10136,BELONGS_TO,Technology_flan-t5
2404.10136,PROPOSED,Method_cascading
Method_cascading,USES,Technology_flan-t5
1908.08971,BELONGS_TO,Technology_automatic
1908.08971,PROPOSED,Method_automatic
Method_automatic,USES,Technology_automatic
1909.10861,BELONGS_TO,Technology_nlp
1909.10861,PROPOSED,Method_lm
Method_lm,USES,Technology_nlp
1211.0713,BELONGS_TO,Technology_nlp
1211.0713,PROPOSED,Method_nlp
Method_nlp,USES,Technology_nlp
2011.06430,BELONGS_TO,Technology_nlp
1606.07298,PROPOSED,Method_explaining
2502.00008,BELONGS_TO,Technology_natural
1706.02509,BELONGS_TO,Technology_nlp
1706.02509,PROPOSED,Method_bibliometrics
1706.02509,PROPOSED,Method_information
1706.02509,PROPOSED,Method_scientometrics
1706.02509,PROPOSED,Method_natural
Method_bibliometrics,USES,Technology_nlp
Method_bibliometrics,IMPROVES,Method_information
Method_bibliometrics,IMPROVES,Method_scientometrics
Method_bibliometrics,IMPROVES,Method_natural
Method_information,USES,Technology_nlp
Method_information,IMPROVES,Method_bibliometrics
Method_information,IMPROVES,Method_scientometrics
Method_information,IMPROVES,Method_natural
Method_scientometrics,USES,Technology_nlp
Method_scientometrics,IMPROVES,Method_bibliometrics
Method_scientometrics,IMPROVES,Method_information
Method_scientometrics,IMPROVES,Method_natural
Method_natural,USES,Technology_nlp
Method_natural,IMPROVES,Method_bibliometrics
Method_natural,IMPROVES,Method_information
Method_natural,IMPROVES,Method_scientometrics
2211.06993,BELONGS_TO,Technology_greenplm
2309.14084,BELONGS_TO,Technology_ai
2309.14084,BELONGS_TO,Technology_cnn
2309.14084,BELONGS_TO,Technology_lstm
2311.11331,BELONGS_TO,Technology_hugging
2109.01932,BELONGS_TO,Technology_isynet
2109.01932,BELONGS_TO,Technology_imagenet
2301.01821,PROPOSED,Method_lora
2301.01821,PROPOSED,Method_bitfit
2301.01821,PROPOSED,Method_adapters
Method_lora,IMPROVES,Method_bitfit
Method_lora,IMPROVES,Method_adapters
Method_bitfit,IMPROVES,Method_lora
Method_bitfit,IMPROVES,Method_adapters
Method_adapters,IMPROVES,Method_lora
Method_adapters,IMPROVES,Method_bitfit
2407.01530,BELONGS_TO,Technology_xlstm
2407.01530,BELONGS_TO,Technology_xlstm-unet
2407.01530,PROPOSED,Method_mri
Method_mri,USES,Technology_xlstm
Method_mri,USES,Technology_xlstm-unet
2108.10604,PROPOSED,Method_prompt-learning
2309.02912,BELONGS_TO,Technology_nlp
2309.02912,RESEARCH_ON,Task_hate
Technology_nlp,BELONGS_TO,Task_hate
2301.02732,PROPOSED,Method_pecially
1709.05576,PROPOSED,Method_morphosyntactic
2412.08900,RESEARCH_ON,Task_re
2412.08900,RESEARCH_ON,Task_ner
1703.08595,BELONGS_TO,Technology_subband
1703.08595,PROPOSED,Method_subband
1703.08595,PROPOSED,Method_pruning
1703.08595,RESEARCH_ON,Task_image
Method_subband,USES,Technology_subband
Method_subband,IMPROVES,Method_pruning
Method_subband,EVALUATES,Task_image
Method_pruning,USES,Technology_subband
Method_pruning,IMPROVES,Method_subband
Method_pruning,EVALUATES,Task_image
Technology_subband,BELONGS_TO,Task_image
2310.00583,BELONGS_TO,Technology_openstreetmap
2407.17075,BELONGS_TO,Technology_safety-j
2110.07609,PROPOSED,Method_sequence
2103.00466,BELONGS_TO,Technology_xlnet
2305.14263,BELONGS_TO,Technology_nlp
2405.17250,BELONGS_TO,Technology_yolov7
2405.17250,BELONGS_TO,Technology_asr-whisper
2405.17250,BELONGS_TO,Technology_asr
2405.17250,BELONGS_TO,Technology_nlp
2405.17250,PROPOSED,Method_cv-yolo
2405.17250,RESEARCH_ON,Task_task
2405.17250,RESEARCH_ON,Task_task
2405.17250,RESEARCH_ON,Task_task
Method_cv-yolo,USES,Technology_yolov7
Method_cv-yolo,USES,Technology_asr-whisper
Method_cv-yolo,USES,Technology_asr
Method_cv-yolo,USES,Technology_nlp
Method_cv-yolo,EVALUATES,Task_task
Method_cv-yolo,EVALUATES,Task_task
Method_cv-yolo,EVALUATES,Task_task
Technology_yolov7,BELONGS_TO,Task_task
Technology_yolov7,BELONGS_TO,Task_task
Technology_yolov7,BELONGS_TO,Task_task
Technology_asr-whisper,BELONGS_TO,Task_task
Technology_asr-whisper,BELONGS_TO,Task_task
Technology_asr-whisper,BELONGS_TO,Task_task
Technology_asr,BELONGS_TO,Task_task
Technology_asr,BELONGS_TO,Task_task
Technology_asr,BELONGS_TO,Task_task
Technology_nlp,BELONGS_TO,Task_task
Technology_nlp,BELONGS_TO,Task_task
Technology_nlp,BELONGS_TO,Task_task
2109.00835,BELONGS_TO,Technology_wikipedia
2109.00835,RESEARCH_ON,Task_automatic
Technology_wikipedia,BELONGS_TO,Task_automatic
2109.13123,BELONGS_TO,Technology_stem
2402.03131,PROPOSED,Method_event
2402.03131,PROPOSED,Method_entity
2402.03131,RESEARCH_ON,Task_event
2402.03131,RESEARCH_ON,Task_entity
Method_event,IMPROVES,Method_entity
Method_event,EVALUATES,Task_event
Method_event,EVALUATES,Task_entity
Method_entity,IMPROVES,Method_event
Method_entity,EVALUATES,Task_event
Method_entity,EVALUATES,Task_entity
2407.07038,PROPOSED,Method_graph-based
2501.13758,BELONGS_TO,Technology_simcse
2501.13758,PROPOSED,Method_curriculum
2501.13758,RESEARCH_ON,Task_sst
2501.13758,RESEARCH_ON,Task_paraphrase
Method_curriculum,USES,Technology_simcse
Method_curriculum,EVALUATES,Task_sst
Method_curriculum,EVALUATES,Task_paraphrase
Technology_simcse,BELONGS_TO,Task_sst
Technology_simcse,BELONGS_TO,Task_paraphrase
2305.13002,BELONGS_TO,Technology_ssl
2305.13002,PROPOSED,Method_task-adaptive
2305.13002,PROPOSED,Method_self-training
Method_task-adaptive,USES,Technology_ssl
Method_task-adaptive,IMPROVES,Method_self-training
Method_self-training,USES,Technology_ssl
Method_self-training,IMPROVES,Method_task-adaptive
1911.02971,RESEARCH_ON,Task_probing
1906.00742,BELONGS_TO,Technology_nlp
1906.00742,PROPOSED,Method_sota
Method_sota,USES,Technology_nlp
1911.01324,PROPOSED,Method_natural
2207.10653,RESEARCH_ON,Task_repfair-gan
2404.17391,BELONGS_TO,Technology_m3bat
2404.17391,RESEARCH_ON,Task_unsupervised
2404.17391,RESEARCH_ON,Task_classification
2404.17391,RESEARCH_ON,Task_regression
Technology_m3bat,BELONGS_TO,Task_unsupervised
Technology_m3bat,BELONGS_TO,Task_classification
Technology_m3bat,BELONGS_TO,Task_regression
2111.09064,BELONGS_TO,Technology_gpt-2
2408.10207,BELONGS_TO,Technology_diffusion
2401.01085,BELONGS_TO,Technology_nlp
2401.01085,BELONGS_TO,Technology_imperio
2305.19689,RESEARCH_ON,Task_natural
2006.06105,BELONGS_TO,Technology_peoplemap
2110.08975,BELONGS_TO,Technology_ai
2110.08975,BELONGS_TO,Technology_tlms
1707.07794,RESEARCH_ON,Task_relational
2307.01225,BELONGS_TO,Technology_ency-driven
2307.01225,BELONGS_TO,Technology_it-dt
2307.01225,PROPOSED,Method_attention
2307.01225,RESEARCH_ON,Task_interpretability
Method_attention,USES,Technology_ency-driven
Method_attention,USES,Technology_it-dt
Method_attention,EVALUATES,Task_interpretability
Technology_ency-driven,BELONGS_TO,Task_interpretability
Technology_it-dt,BELONGS_TO,Task_interpretability
2304.02711,PROPOSED,Method_structured
2304.02711,PROPOSED,Method_recursive
2304.02711,RESEARCH_ON,Task_structured
2304.02711,RESEARCH_ON,Task_relation
Method_structured,IMPROVES,Method_recursive
Method_structured,EVALUATES,Task_structured
Method_structured,EVALUATES,Task_relation
Method_recursive,IMPROVES,Method_structured
Method_recursive,EVALUATES,Task_structured
Method_recursive,EVALUATES,Task_relation
2304.05173,RESEARCH_ON,Task_long-tailed
2408.17198,PROPOSED,Method_heatmaps
2408.17198,PROPOSED,Method_symbolic
Method_heatmaps,IMPROVES,Method_symbolic
Method_symbolic,IMPROVES,Method_heatmaps
2008.01526,PROPOSED,Method_multi-perspective
2008.01526,RESEARCH_ON,Task_living
Method_multi-perspective,EVALUATES,Task_living
2209.01188,BELONGS_TO,Technology_bloom-176b
2306.11963,PROPOSED,Method_machine
2306.11963,PROPOSED,Method_natural
Method_machine,IMPROVES,Method_natural
Method_natural,IMPROVES,Method_machine
2104.02516,BELONGS_TO,Technology_machine
2104.02516,RESEARCH_ON,Task_ml
Technology_machine,BELONGS_TO,Task_ml
2201.09696,BELONGS_TO,Technology_unified-qg
2201.09696,BELONGS_TO,Technology_ified-qg
2201.09696,RESEARCH_ON,Task_unified
2201.09696,RESEARCH_ON,Task_question
Technology_unified-qg,BELONGS_TO,Task_unified
Technology_unified-qg,BELONGS_TO,Task_question
Technology_ified-qg,BELONGS_TO,Task_unified
Technology_ified-qg,BELONGS_TO,Task_question
2501.02042,BELONGS_TO,Technology_xai
2501.02042,PROPOSED,Method_xai
Method_xai,USES,Technology_xai
2402.11175,PROPOSED,Method_mono-lingual
2402.11175,PROPOSED,Method_mixed
2402.11175,RESEARCH_ON,Task_m4gt-bench
Method_mono-lingual,IMPROVES,Method_mixed
Method_mono-lingual,EVALUATES,Task_m4gt-bench
Method_mixed,IMPROVES,Method_mono-lingual
Method_mixed,EVALUATES,Task_m4gt-bench
2309.14592,PROPOSED,Method_llms
2308.11654,BELONGS_TO,Technology_adact
2308.11654,PROPOSED,Method_eeg
Method_eeg,USES,Technology_adact
2202.13871,BELONGS_TO,Technology_natural
2202.13871,BELONGS_TO,Technology_nlp
2410.01532,PROPOSED,Method_reinforcement
2410.01532,RESEARCH_ON,Task_reinforcement
Method_reinforcement,EVALUATES,Task_reinforcement
2204.01614,BELONGS_TO,Technology_ai
2204.01614,PROPOSED,Method_machine
Method_machine,USES,Technology_ai
2210.03640,BELONGS_TO,Technology_mission
2210.03640,BELONGS_TO,Technology_long-term
2011.04521,BELONGS_TO,Technology_lstm
2011.04521,BELONGS_TO,Technology_cnn
2011.04521,RESEARCH_ON,Task_automated
Technology_lstm,BELONGS_TO,Task_automated
Technology_cnn,BELONGS_TO,Task_automated
2408.09094,PROPOSED,Method_painting
2108.06216,BELONGS_TO,Technology_ai
2108.06216,BELONGS_TO,Technology_xai
2108.06216,BELONGS_TO,Technology_xi-ml
2108.06216,PROPOSED,Method_xi-ml
Method_xi-ml,USES,Technology_ai
Method_xi-ml,USES,Technology_xai
Method_xi-ml,USES,Technology_xi-ml
2403.19365,BELONGS_TO,Technology_nlp
2403.19365,RESEARCH_ON,Task_mt
Technology_nlp,BELONGS_TO,Task_mt
1612.04460,RESEARCH_ON,Task_hypernymy
1712.09687,BELONGS_TO,Technology_logic
1712.09687,PROPOSED,Method_logic
Method_logic,USES,Technology_logic
2308.11773,BELONGS_TO,Technology_whisper
2308.11773,BELONGS_TO,Technology_bertopic
2107.14586,BELONGS_TO,Technology_gpu
2107.14586,BELONGS_TO,Technology_lstm
2107.14586,RESEARCH_ON,Task_natural
Technology_gpu,BELONGS_TO,Task_natural
Technology_lstm,BELONGS_TO,Task_natural
2305.01812,RESEARCH_ON,Task_post-abstention
1807.10800,PROPOSED,Method_r
1911.03268,BELONGS_TO,Technology_meg
1911.03268,BELONGS_TO,Technology_magnetoencephalography
1911.03268,BELONGS_TO,Technology_bert
1911.03268,PROPOSED,Method_meg
1911.03268,PROPOSED,Method_magnetoencephalography
1911.03268,PROPOSED,Method_tional
1911.03268,PROPOSED,Method_fmri
Method_meg,USES,Technology_meg
Method_meg,USES,Technology_magnetoencephalography
Method_meg,USES,Technology_bert
Method_meg,IMPROVES,Method_magnetoencephalography
Method_meg,IMPROVES,Method_tional
Method_meg,IMPROVES,Method_fmri
Method_magnetoencephalography,USES,Technology_meg
Method_magnetoencephalography,USES,Technology_magnetoencephalography
Method_magnetoencephalography,USES,Technology_bert
Method_magnetoencephalography,IMPROVES,Method_meg
Method_magnetoencephalography,IMPROVES,Method_tional
Method_magnetoencephalography,IMPROVES,Method_fmri
Method_tional,USES,Technology_meg
Method_tional,USES,Technology_magnetoencephalography
Method_tional,USES,Technology_bert
Method_tional,IMPROVES,Method_meg
Method_tional,IMPROVES,Method_magnetoencephalography
Method_tional,IMPROVES,Method_fmri
Method_fmri,USES,Technology_meg
Method_fmri,USES,Technology_magnetoencephalography
Method_fmri,USES,Technology_bert
Method_fmri,IMPROVES,Method_meg
Method_fmri,IMPROVES,Method_magnetoencephalography
Method_fmri,IMPROVES,Method_tional
2403.18637,BELONGS_TO,Technology_transformers
2403.18637,PROPOSED,Method_transformers
Method_transformers,USES,Technology_transformers
1806.09533,BELONGS_TO,Technology_natural
1806.09533,PROPOSED,Method_natural
Method_natural,USES,Technology_natural
2402.10090,BELONGS_TO,Technology_large
2402.10090,BELONGS_TO,Technology_pics
2408.16978,BELONGS_TO,Technology_gpu
1911.03894,BELONGS_TO,Technology_wikipedia
1604.00314,BELONGS_TO,Technology_nlps
2004.00033,BELONGS_TO,Technology_nlp
2004.00033,RESEARCH_ON,Task_ner
Technology_nlp,BELONGS_TO,Task_ner
2306.07198,PROPOSED,Method_image
2306.07198,RESEARCH_ON,Task_multimodal
Method_image,EVALUATES,Task_multimodal
2312.04234,BELONGS_TO,Technology_transformers
1905.10949,BELONGS_TO,Technology_quesnet
1801.01900,PROPOSED,Method_topic
1801.01900,PROPOSED,Method_latent
1801.01900,RESEARCH_ON,Task_latent
Method_topic,IMPROVES,Method_latent
Method_topic,EVALUATES,Task_latent
Method_latent,IMPROVES,Method_topic
Method_latent,EVALUATES,Task_latent
2208.07835,PROPOSED,Method_full-text
2208.07835,RESEARCH_ON,Task_named
Method_full-text,EVALUATES,Task_named
2211.10330,BELONGS_TO,Technology_geniusaug
2304.14544,PROPOSED,Method_technical
2304.14544,PROPOSED,Method_text
Method_technical,IMPROVES,Method_text
Method_text,IMPROVES,Method_technical
2412.06951,BELONGS_TO,Technology_natural
2412.06951,BELONGS_TO,Technology_multilingual
2412.06951,BELONGS_TO,Technology_word2vec
2412.06951,BELONGS_TO,Technology_k-means
2105.00164,PROPOSED,Method_human
2412.03886,PROPOSED,Method_uniform
2412.03886,PROPOSED,Method_question
2412.03886,RESEARCH_ON,Task_sentiment
Method_uniform,IMPROVES,Method_question
Method_uniform,EVALUATES,Task_sentiment
Method_question,IMPROVES,Method_uniform
Method_question,EVALUATES,Task_sentiment
2303.05388,BELONGS_TO,Technology_legal
2303.05388,BELONGS_TO,Technology_legal
2303.05388,BELONGS_TO,Technology_huggingface
2303.05388,PROPOSED,Method_ner
2303.05388,RESEARCH_ON,Task_named
Method_ner,USES,Technology_legal
Method_ner,USES,Technology_legal
Method_ner,USES,Technology_huggingface
Method_ner,EVALUATES,Task_named
Technology_legal,BELONGS_TO,Task_named
Technology_legal,BELONGS_TO,Task_named
Technology_huggingface,BELONGS_TO,Task_named
2111.13440,BELONGS_TO,Technology_pet
2111.13440,BELONGS_TO,Technology_nlp
2111.13440,PROPOSED,Method_pet
Method_pet,USES,Technology_pet
Method_pet,USES,Technology_nlp
2106.07898,BELONGS_TO,Technology_computer
2106.07898,PROPOSED,Method_computer
Method_computer,USES,Technology_computer
2310.16040,RESEARCH_ON,Task_information
2310.16040,RESEARCH_ON,Task_on-demand
2103.03457,BELONGS_TO,Technology_transformer
2103.03457,PROPOSED,Method_transformer
2103.03457,RESEARCH_ON,Task_instance-wise
Method_transformer,USES,Technology_transformer
Method_transformer,EVALUATES,Task_instance-wise
Technology_transformer,BELONGS_TO,Task_instance-wise
2010.06194,RESEARCH_ON,Task_labeling
2112.08787,BELONGS_TO,Technology_nlp
2112.08787,BELONGS_TO,Technology_actune
2112.08787,RESEARCH_ON,Task_uncertainty-aware
Technology_nlp,BELONGS_TO,Task_uncertainty-aware
Technology_actune,BELONGS_TO,Task_uncertainty-aware
2109.13037,BELONGS_TO,Technology_nlp
2406.11651,BELONGS_TO,Technology_gpt-4
2401.06791,BELONGS_TO,Technology_ebm-nlp
2304.13664,RESEARCH_ON,Task_using
2305.16409,PROPOSED,Method_tweets
2310.17120,BELONGS_TO,Technology_language
2310.17120,PROPOSED,Method_language
2310.17120,RESEARCH_ON,Task_topic
2310.17120,RESEARCH_ON,Task_focal
Method_language,USES,Technology_language
Method_language,EVALUATES,Task_topic
Method_language,EVALUATES,Task_focal
Technology_language,BELONGS_TO,Task_topic
Technology_language,BELONGS_TO,Task_focal
2006.01538,BELONGS_TO,Technology_wikipedia
2307.10634,BELONGS_TO,Technology_rnns
2307.10634,BELONGS_TO,Technology_n-grams
2307.10634,PROPOSED,Method_n-grams
2307.10634,PROPOSED,Method_rnns
Method_n-grams,USES,Technology_rnns
Method_n-grams,USES,Technology_n-grams
Method_n-grams,IMPROVES,Method_rnns
Method_rnns,USES,Technology_rnns
Method_rnns,USES,Technology_n-grams
Method_rnns,IMPROVES,Method_n-grams
2402.18593,BELONGS_TO,Technology_ai
2402.18593,PROPOSED,Method_wer-capping
Method_wer-capping,USES,Technology_ai
2305.08226,BELONGS_TO,Technology_srsran
2305.08226,BELONGS_TO,Technology_5g
2308.02226,BELONGS_TO,Technology_large
2308.02226,PROPOSED,Method_learning
Method_learning,USES,Technology_large
2410.04155,RESEARCH_ON,Task_machine
2410.04155,RESEARCH_ON,Task_dialogue
2207.05022,BELONGS_TO,Technology_sti
2207.05022,BELONGS_TO,Technology_speedy
2207.05022,PROPOSED,Method_model
Method_model,USES,Technology_sti
Method_model,USES,Technology_speedy
2306.07934,BELONGS_TO,Technology_nlp
2112.10821,PROPOSED,Method_natural
2112.10821,PROPOSED,Method_kidney
Method_natural,IMPROVES,Method_kidney
Method_kidney,IMPROVES,Method_natural
1910.11204,RESEARCH_ON,Task_srl
2303.07240,PROPOSED,Method_pmc-clip
2106.01649,BELONGS_TO,Technology_causal-timebank
2106.01649,PROPOSED,Method_causal-timebank
2106.01649,PROPOSED,Method_eventstoryline
Method_causal-timebank,USES,Technology_causal-timebank
Method_causal-timebank,IMPROVES,Method_eventstoryline
Method_eventstoryline,USES,Technology_causal-timebank
Method_eventstoryline,IMPROVES,Method_causal-timebank
2304.04193,BELONGS_TO,Technology_nlp
2008.00032,BELONGS_TO,Technology_doc-absadeepl
2101.00288,BELONGS_TO,Technology_polyjuice
2501.16360,BELONGS_TO,Technology_momentum
2501.16360,PROPOSED,Method_enhanced
2501.16360,PROPOSED,Method_momentum
Method_enhanced,USES,Technology_momentum
Method_enhanced,IMPROVES,Method_momentum
Method_momentum,USES,Technology_momentum
Method_momentum,IMPROVES,Method_enhanced
2406.07287,BELONGS_TO,Technology_gpt-3.5
2406.07287,BELONGS_TO,Technology_xlm-roberta
2406.07287,RESEARCH_ON,Task_task
Technology_gpt-3.5,BELONGS_TO,Task_task
Technology_xlm-roberta,BELONGS_TO,Task_task
2012.08958,PROPOSED,Method_deep
2303.07622,PROPOSED,Method_re-move
2108.00285,BELONGS_TO,Technology_fast
2108.00285,PROPOSED,Method_fmm
2108.00285,PROPOSED,Method_fast
Method_fmm,USES,Technology_fast
Method_fmm,IMPROVES,Method_fast
Method_fast,USES,Technology_fast
Method_fast,IMPROVES,Method_fmm
2110.03873,BELONGS_TO,Technology_stem
1411.5726,BELONGS_TO,Technology_cider
1411.5726,RESEARCH_ON,Task_consensus-based
Technology_cider,BELONGS_TO,Task_consensus-based
2203.15101,RESEARCH_ON,Task_named-entity
2407.12376,PROPOSED,Method_bidirectional
1611.05469,BELONGS_TO,Technology_nlp
1809.01812,PROPOSED,Method_noise
1809.01812,PROPOSED,Method_nce
Method_noise,IMPROVES,Method_nce
Method_nce,IMPROVES,Method_noise
2405.15319,BELONGS_TO,Technology_nlp
2409.19566,BELONGS_TO,Technology_multilingual
2409.19566,PROPOSED,Method_multilingual
Method_multilingual,USES,Technology_multilingual
1702.05699,BELONGS_TO,Technology_dysign
1702.05699,PROPOSED,Method_fingerprinting
1702.05699,PROPOSED,Method_dynamic
1702.05699,PROPOSED,Method_dysign
1702.05699,PROPOSED,Method_natural
Method_fingerprinting,USES,Technology_dysign
Method_fingerprinting,IMPROVES,Method_dynamic
Method_fingerprinting,IMPROVES,Method_dysign
Method_fingerprinting,IMPROVES,Method_natural
Method_dynamic,USES,Technology_dysign
Method_dynamic,IMPROVES,Method_fingerprinting
Method_dynamic,IMPROVES,Method_dysign
Method_dynamic,IMPROVES,Method_natural
Method_dysign,USES,Technology_dysign
Method_dysign,IMPROVES,Method_fingerprinting
Method_dysign,IMPROVES,Method_dynamic
Method_dysign,IMPROVES,Method_natural
Method_natural,USES,Technology_dysign
Method_natural,IMPROVES,Method_fingerprinting
Method_natural,IMPROVES,Method_dynamic
Method_natural,IMPROVES,Method_dysign
2108.11943,PROPOSED,Method_position-invariant
2108.11943,PROPOSED,Method_sequence
2108.11943,RESEARCH_ON,Task_position-invariant
Method_position-invariant,IMPROVES,Method_sequence
Method_position-invariant,EVALUATES,Task_position-invariant
Method_sequence,IMPROVES,Method_position-invariant
Method_sequence,EVALUATES,Task_position-invariant
2404.17991,BELONGS_TO,Technology_bert
2404.17991,PROPOSED,Method_question
Method_question,USES,Technology_bert
2012.04005,BELONGS_TO,Technology_spark
2106.06052,BELONGS_TO,Technology_dynabench
2210.17262,PROPOSED,Method_machine
2005.10219,BELONGS_TO,Technology_python
2409.16974,BELONGS_TO,Technology_ai
2005.01006,RESEARCH_ON,Task_subtask1
2311.03498,RESEARCH_ON,Task_in-context
2109.07679,PROPOSED,Method_benchmarking
2109.07679,RESEARCH_ON,Task_benchmarking
Method_benchmarking,EVALUATES,Task_benchmarking
2501.15398,BELONGS_TO,Technology_ai
2501.15398,PROPOSED,Method_analyzing
