id,type,name,time
2404.11588,Paper,Related Work and Citation Text Generation: A Survey,2024
2405.09596,Paper,Enhancing Maritime Trajectory Forecasting via H3 Index and Causal Language Modelling (CLM),2024
2405.19561,Paper,Quo Vadis ChatGPT? From Large Language Models to Large Knowledge Models,2024
2406.18239,Paper,Zero-shot prompt-based classification: topic labeling in times of foundation models in German Tweets,2024
2407.06564,Paper,Combining Knowledge Graphs and Large Language Models,2024
2407.14789,Paper,PERCORE: A Deep Learning-Based Framework for Persian Spelling Correction with Phonetic Analysis,2024
2408.04023,Paper,Improving Large Language Model (LLM) fidelity through context-aware grounding: A systematic approach to reliability and veracity,2024
2409.17906,Paper,Graph Reasoning with Large Language Models via Pseudo-code Prompting,2024
2410.10229,Paper,BanglaQuAD: A Bengali Open-domain Question Answering Dataset,2024
2410.15578,Paper,Generalized Probabilistic Attention Mechanism in Transformers,2024
2411.02943,Paper,Capturing research literature attitude towards Sustainable Development Goals: an LLM-based topic modeling approach,2024
2411.04075,Paper,M3SciQA: A Multi-Modal Multi-Document Scientific QA Benchmark for Evaluating Foundation Models,2024
2411.06438,Paper,Conditional [MASK] Discrete Diffusion Language Model,2024
2411.12000,Paper,ByteScience: Bridging Unstructured Scientific Literature and Structured Data with Auto Fine-tuned Large Language Model in Token Granularity,2024
2412.16120,Paper,PromptOptMe: Error-Aware Prompt Compression for LLM-based MT Evaluation Metrics,2024
2501.08328,Paper,PokerBench: Training Large Language Models to become Professional Poker Players,2025
2502.19276,Paper,Disentangled VAD Representations via a Variational Framework for Political Stance Detection,2025
Method_Adapter_Pruning_using_Tropical_Characterization,Method,Adapter Pruning using Tropical Characterization,2023
Method_B-PROP,Method,B-PROP,2021
Method_Computational_Language_Models,Method,Computational Language Models,2022
Method_DL,Method,DL,2023
Method_Efficient_and_Effective_Text_Encoding,Method,Efficient and Effective Text Encoding,2023
Method_Graph_Reasoning_with_Large_Language_Models_via_Pseudo-code_Prompting,Method,Graph Reasoning with Large Language Models via Pseudo-code Prompting,2024
Method_Graph_modelling,Method,Graph modelling,2023
Method_Hybrid_Long_Document_Summarization_using_C2F-FAR_and_ChatGPT:_A_Practical_Study,Method,Hybrid Long Document Summarization using C2F-FAR and ChatGPT: A Practical Study,2023
Method_Integrating_Graph_Contextualized_Knowledge_into_Pre-trained_Language_Models,Method,Integrating Graph Contextualized Knowledge into Pre-trained Language Models,2019
Method_KG-powered_LLMs,Method,KG-powered LLMs,2024
Method_KRL,Method,KRL,2019
Method_L-WM,Method,L-WM,2022
Method_LLM-based_KGs,Method,LLM-based KGs,2024
Method_LMs,Method,LMs,2022
Method_M3SciQA,Method,M3SciQA,2024
Method_MNet-Sim,Method,MNet-Sim,2021
Method_Machine_Translation,Method,Machine Translation,2023
Method_Machine_learning,Method,Machine learning,2016
Method_Matchmaking_for_AI,Method,Matchmaking for AI,2023
Method_Multi-Task_Learning,Method,Multi-Task Learning,2020
Method_Multi-task_Learning,Method,Multi-task Learning,2020
Method_Natural_Language_Processing,Method,Natural Language Processing,2020
Method_Newton's_Method,Method,Newton's Method,2013
Method_Principal_Component_Analysis,Method,Principal Component Analysis,2018
Method_RL,Method,RL,2021
Method_Regression,Method,Regression,2020
Method_SIFTs,Method,SIFTs,2022
Method_SSL-WM,Method,SSL-WM,2022
Method_Stochastic_Context-Free_Grammars,Method,Stochastic Context-Free Grammars,2013
Method_Support_Vector_Machine,Method,Support Vector Machine,2020
Method_ViT,Method,ViT,2022
Method_language-conditioned_grasp_method,Method,language-conditioned grasp method,2022
Method_machine-driven_analytics,Method,machine-driven analytics,2022
Method_online_chats,Method,online chats,2019
Method_phonetic_analysis,Method,phonetic analysis,2024
Method_pseudo-code_engineering,Method,pseudo-code engineering,2024
Method_scale-invariant_feature_transforms,Method,scale-invariant feature transforms,2022
Method_self-checking,Method,self-checking,2023
Method_self-supervised_tuning,Method,self-supervised tuning,2023
Method_video/audio,Method,video/audio,2011
Task_Automatic_Generation_of_Descriptive_Titles_for_Video_Clips,Task,Automatic Generation of Descriptive Titles for Video Clips,2021
Task_CV,Task,CV,2022
Task_Entity-Based_Evaluation_of_Political_Bias_in_Automatic_Summarization,Task,Entity-Based Evaluation of Political Bias in Automatic Summarization,2023
Task_Generalized_Probabilistic_Attention_Mechanism_in_Transformers,Task,Generalized Probabilistic Attention Mechanism in Transformers,2024
Task_Hybrid_Long_Document_Summarization,Task,Hybrid Long Document Summarization,2023
Task_Igbo-English_Machine_Translation:_An_Evaluation_Benchmark,Task,Igbo-English Machine Translation: An Evaluation Benchmark,2020
Task_Long-length_Legal_Document_Classification,Task,Long-length Legal Document Classification,2019
Task_MNLI,Task,MNLI,2021
Task_NER,Task,NER,2020
Task_POS,Task,POS,2020
Task_Predicting_Emotions_in_Spoken_Dialogues_and_Chats,Task,Predicting Emotions in Spoken Dialogues and Chats,2019
Task_QQP,Task,QQP,2021
Task_Reverse_Operation_based_Data_Augmentation_for_Solving_Math_Word_Problems,Task,Reverse Operation based Data Augmentation for Solving Math Word Problems,2020
Task_Robust_Multi-bit_Natural_Language_Watermarking_through_Invariant_Features,Task,Robust Multi-bit Natural Language Watermarking through Invariant Features,2023
Task_Sequence_Tagging_with_Contextual_and_Non-Contextual_Subword_Representations:_A_Multilingual_Evaluation,Task,Sequence Tagging with Contextual and Non-Contextual Subword Representations: A Multilingual Evaluation,2019
Task_clustering_and_image_retrieval,Task,clustering and image retrieval,2017
Technology_AI,Technology,AI,2024
Technology_AdvGraph,Technology,AdvGraph,2021
Technology_Artificial_Intelligence,Technology,Artificial Intelligence,2020
Technology_Automatic_Speech_Recognition,Technology,Automatic Speech Recognition,2018
Technology_BERTopic,Technology,BERTopic,2024
Technology_Bi-LSTM,Technology,Bi-LSTM,2020
Technology_BioMegatron,Technology,BioMegatron,2020
Technology_Books,Technology,Books,2020
Technology_C-Eval,Technology,C-Eval,2023
Technology_C2F-FAR,Technology,C2F-FAR,2023
Technology_C2F-FAR_and_ChatGPT:_A_Practical_Study,Technology,C2F-FAR and ChatGPT: A Practical Study,2023
Technology_CAD,Technology,CAD,2023
Technology_ChatGPT,Technology,ChatGPT,2023
Technology_Computational_Language_Models,Technology,Computational Language Models,2022
Technology_Computer_Sc,Technology,Computer Sc,2024
Technology_Deep_Learning,Technology,Deep Learning,2021
Technology_ELECTRA,Technology,ELECTRA,2021
Technology_GNSS,Technology,GNSS,2024
Technology_LSTM,Technology,LSTM,2024
Technology_MIMIC-III,Technology,MIMIC-III,2023
Technology_MT,Technology,MT,2023
Technology_Machine_Translation,Technology,Machine Translation,2023
Technology_Multi-task_Learning,Technology,Multi-task Learning,2020
Technology_NLP,Technology,NLP,2020
Technology_Network_Science,Technology,Network Science,2021
Technology_Principal_Component_Analysis,Technology,Principal Component Analysis,2018
Technology_SODE,Technology,SODE,2023
Technology_SSL,Technology,SSL,2022
Technology_SSL-WM,Technology,SSL-WM,2022
Technology_Turing,Technology,Turing,2013
Technology_Wav2Vec,Technology,Wav2Vec,2023
Technology_Wikipedia,Technology,Wikipedia,2020
Technology_X-Former,Technology,X-Former,2023
Technology_semantic_web_technologies,Technology,semantic web technologies,2024
cmp-lg/9507003,Paper,Robust Processing of Natural Language,1995
