head,relation,tail
Technology_ml,BELONGS_TO,Task_domain-specific
Technology_xlm-roberta,BELONGS_TO,Task_detecting
Technology_nlp,BELONGS_TO,Task_morphology
Technology_resnet-50,BELONGS_TO,Task_self-attention
Technology_resnet-34,BELONGS_TO,Task_self-attention
Technology_proxyanchor,BELONGS_TO,Task_senteval
Technology_machine,BELONGS_TO,Task_anaphora
Technology_nlp,BELONGS_TO,Task_property
Technology_nlp,BELONGS_TO,Task_calibrating
Technology_yelp-clean,BELONGS_TO,Task_unsupervised
Technology_flexigpt,BELONGS_TO,Task_pruning
Technology_imagenet-1k,BELONGS_TO,Task_retentive
Technology_imagenet-1k,BELONGS_TO,Task_self-attention
Technology_imagenet-1k,BELONGS_TO,Task_coco
Technology_nlp,BELONGS_TO,Task_a
Technology_automl,BELONGS_TO,Task_a
Technology_json,BELONGS_TO,Task_nlp
Technology_ai,BELONGS_TO,Task_an
Technology_xai,BELONGS_TO,Task_binding
Technology_nlp,BELONGS_TO,Task_design
Technology_gpt-3,BELONGS_TO,Task_tempora
Technology_gpt-2,BELONGS_TO,Task_decoding
Technology_temporally-composable,BELONGS_TO,Task_instructed
Technology_elms,BELONGS_TO,Task_time-to-first-token
Technology_gpu,BELONGS_TO,Task_time-to-first-token
Technology_esulmo,BELONGS_TO,Task_natural
Technology_portuguese,BELONGS_TO,Task_classification
Technology_nlp,BELONGS_TO,Task_multilingual
Technology_okapi,BELONGS_TO,Task_multilingual
Technology_pre-trained,BELONGS_TO,Task_end-to-end
Technology_word2vec,BELONGS_TO,Task_natural
Technology_codesam,BELONGS_TO,Task_se
Technology_mosecrot,BELONGS_TO,Task_crosslingual
Technology_elmogan,BELONGS_TO,Task_nlp
Technology_deeplesion,BELONGS_TO,Task_universal
Technology_deeplesion,BELONGS_TO,Task_cl
Technology_computer,BELONGS_TO,Task_image
Technology_nlp,BELONGS_TO,Task_detecting
Technology_snli,BELONGS_TO,Task_squad
Technology_robustsentembed,BELONGS_TO,Task_bertattack
Technology_bidirectional,BELONGS_TO,Task_bidirectional
Technology_nlp,BELONGS_TO,Task_making
Technology_automatic,BELONGS_TO,Task_lu
Technology_ml,BELONGS_TO,Task_end-to-end
Technology_mgae,BELONGS_TO,Task_rare
Technology_english,BELONGS_TO,Task_auxiliary
Technology_ai,BELONGS_TO,Task_short-text
Technology_nlp,BELONGS_TO,Task_unsupervised
Technology_nlp,BELONGS_TO,Task_learning
Technology_wordnet,BELONGS_TO,Task_data
Technology_embeddings,BELONGS_TO,Task_question
Technology_bidirectional,BELONGS_TO,Task_question
Technology_gpt-4,BELONGS_TO,Task_fact-bench
Technology_deep,BELONGS_TO,Task_diagnosis
Technology_deep,BELONGS_TO,Task_hedge
Technology_llms,BELONGS_TO,Task_f1
Technology_segmented,BELONGS_TO,Task_f1
Technology_twp,BELONGS_TO,Task_test-time
Technology_trojan,BELONGS_TO,Task_test-time
Technology_instruct,BELONGS_TO,Task_foreground
Technology_instruct,BELONGS_TO,Task_single
Technology_inmemo,BELONGS_TO,Task_foreground
Technology_inmemo,BELONGS_TO,Task_single
Technology_darknet,BELONGS_TO,Task_low-resource
Technology_hr-multiwoz,BELONGS_TO,Task_llm
Technology_llms,BELONGS_TO,Task_llm
Technology_semantic,BELONGS_TO,Task_language
Technology_semantic,BELONGS_TO,Task_sts
Technology_nlp,BELONGS_TO,Task_dialogue
