head,relation,tail
2409.02244,BELONGS_TO,Technology_HELPERT
2409.02244,PROPOSED,Method_CBT
2409.02244,PROPOSED,Method_Cognitive_Behavioral_Therapy
Method_CBT,USES,Technology_HELPERT
Method_CBT,IMPROVES,Method_Cognitive_Behavioral_Therapy
Method_Cognitive_Behavioral_Therapy,USES,Technology_HELPERT
Method_Cognitive_Behavioral_Therapy,IMPROVES,Method_CBT
2401.06210,BELONGS_TO,Technology_NLP
2405.06818,BELONGS_TO,Technology_AI
2311.03732,PROPOSED,Method_Meta-Continual_Active_Learning
2309.07462,BELONGS_TO,Technology_GPT-4
2301.05099,BELONGS_TO,Technology_OnnxRuntime
2301.05099,BELONGS_TO,Technology_PaddleOCR
2301.05099,PROPOSED,Method_natural_language_processing
2301.05099,PROPOSED,Method_PaddleOCR
2301.05099,PROPOSED,Method_optical_character_recognition
2301.05099,PROPOSED,Method_BERT
Method_natural_language_processing,USES,Technology_OnnxRuntime
Method_natural_language_processing,USES,Technology_PaddleOCR
Method_natural_language_processing,IMPROVES,Method_PaddleOCR
Method_natural_language_processing,IMPROVES,Method_optical_character_recognition
Method_natural_language_processing,IMPROVES,Method_BERT
Method_PaddleOCR,USES,Technology_OnnxRuntime
Method_PaddleOCR,USES,Technology_PaddleOCR
Method_PaddleOCR,IMPROVES,Method_natural_language_processing
Method_PaddleOCR,IMPROVES,Method_optical_character_recognition
Method_PaddleOCR,IMPROVES,Method_BERT
Method_optical_character_recognition,USES,Technology_OnnxRuntime
Method_optical_character_recognition,USES,Technology_PaddleOCR
Method_optical_character_recognition,IMPROVES,Method_natural_language_processing
Method_optical_character_recognition,IMPROVES,Method_PaddleOCR
Method_optical_character_recognition,IMPROVES,Method_BERT
Method_BERT,USES,Technology_OnnxRuntime
Method_BERT,USES,Technology_PaddleOCR
Method_BERT,IMPROVES,Method_natural_language_processing
Method_BERT,IMPROVES,Method_PaddleOCR
Method_BERT,IMPROVES,Method_optical_character_recognition
2305.09154,BELONGS_TO,Technology_Statistical_Machine_Translation
2305.09154,PROPOSED,Method_Statistical_Machine_Translation
Method_Statistical_Machine_Translation,USES,Technology_Statistical_Machine_Translation
2406.17304,BELONGS_TO,Technology_AI
2104.11576,BELONGS_TO,Technology_NLP
2104.11576,BELONGS_TO,"Technology_Automated_Query_Generation,_and_Genetic_Perturbation"
2104.11576,PROPOSED,"Method_Automated_Query_Generation,_and_Genetic_Perturbation"
"Method_Automated_Query_Generation,_and_Genetic_Perturbation",USES,Technology_NLP
"Method_Automated_Query_Generation,_and_Genetic_Perturbation",USES,"Technology_Automated_Query_Generation,_and_Genetic_Perturbation"
2410.15145,PROPOSED,Method_LLM-based_verification
2410.15145,RESEARCH_ON,Task_Mining_Asymmetric_Intertextuality
2410.15145,RESEARCH_ON,Task_LLM-based_verification
Method_LLM-based_verification,EVALUATES,Task_Mining_Asymmetric_Intertextuality
Method_LLM-based_verification,EVALUATES,Task_LLM-based_verification
2502.04269,PROPOSED,Method_Named_Entity_Recogniti
2502.04269,RESEARCH_ON,Task_Named_Entity_Recognition
Method_Named_Entity_Recogniti,EVALUATES,Task_Named_Entity_Recognition
1905.12356,BELONGS_TO,Technology_ML
2502.11671,PROPOSED,Method_Diversity-Oriented_Data_Augmentation_with_Large_Language_Models
2502.11671,RESEARCH_ON,Task_Diversity-Oriented_Data_Augmentation_with_Large_Language_Models
Method_Diversity-Oriented_Data_Augmentation_with_Large_Language_Models,EVALUATES,Task_Diversity-Oriented_Data_Augmentation_with_Large_Language_Models
2407.01530,BELONGS_TO,Technology_xLSTM
2407.01530,BELONGS_TO,Technology_xLSTM-UNet
2407.01530,PROPOSED,Method_MRI
Method_MRI,USES,Technology_xLSTM
Method_MRI,USES,Technology_xLSTM-UNet
2303.09999,BELONGS_TO,Technology_Natural_Language_Processing
2303.09999,BELONGS_TO,Technology_NLP
2002.06275,BELONGS_TO,Technology_TwinBERT
2002.06275,BELONGS_TO,Technology_BERT-Base
2002.06275,PROPOSED,Method_encoding
Method_encoding,USES,Technology_TwinBERT
Method_encoding,USES,Technology_BERT-Base
2409.12175,BELONGS_TO,Technology_RoFormer
2204.06457,RESEARCH_ON,Task_IR
2204.06457,RESEARCH_ON,Task_QA
1807.05519,BELONGS_TO,Technology_NLP
1909.06723,BELONGS_TO,Technology_SEM
1909.06723,PROPOSED,Method_Synonym_Encoding_Method
1909.06723,PROPOSED,Method_SEM
Method_Synonym_Encoding_Method,USES,Technology_SEM
Method_Synonym_Encoding_Method,IMPROVES,Method_SEM
Method_SEM,USES,Technology_SEM
Method_SEM,IMPROVES,Method_Synonym_Encoding_Method
2007.16007,RESEARCH_ON,Task_NER
2007.16007,RESEARCH_ON,Task_entity_recognition
2111.07224,BELONGS_TO,Technology_LHC-Net
2010.04801,BELONGS_TO,Technology_Linux
2010.04801,RESEARCH_ON,Task_Semi-Automated_Protocol_Disambiguation_and_Code_Generation
Technology_Linux,BELONGS_TO,Task_Semi-Automated_Protocol_Disambiguation_and_Code_Generation
2104.02797,PROPOSED,Method_ying_geometry
2406.11341,PROPOSED,Method_in-context_learning
2406.11341,PROPOSED,Method_SFT
2406.11341,PROPOSED,Method_ICL
Method_in-context_learning,IMPROVES,Method_SFT
Method_in-context_learning,IMPROVES,Method_ICL
Method_SFT,IMPROVES,Method_in-context_learning
Method_SFT,IMPROVES,Method_ICL
Method_ICL,IMPROVES,Method_in-context_learning
Method_ICL,IMPROVES,Method_SFT
2303.17324,RESEARCH_ON,Task_Latent_Dirichlet_Allocation
1702.06921,PROPOSED,Method_sub2vec
1702.06921,RESEARCH_ON,Task_node_classification_and_edge_prediction
Method_sub2vec,EVALUATES,Task_node_classification_and_edge_prediction
2401.10754,BELONGS_TO,Technology_DA
2401.10754,PROPOSED,Method_Data_Augmentation_for_Traffic_Classification_Data_Augmentation_(DA
Method_Data_Augmentation_for_Traffic_Classification_Data_Augmentation_(DA,USES,Technology_DA
2302.01029,BELONGS_TO,Technology_SET-Adam
2302.01029,PROPOSED,Method_epsilon-embedding
2302.01029,PROPOSED,Method_down-translating
Method_epsilon-embedding,USES,Technology_SET-Adam
Method_epsilon-embedding,IMPROVES,Method_down-translating
Method_down-translating,USES,Technology_SET-Adam
Method_down-translating,IMPROVES,Method_epsilon-embedding
2405.00361,BELONGS_TO,Technology_AdaMoLE
2308.11082,BELONGS_TO,Technology_Ethereum
2308.11082,BELONGS_TO,Technology_OSS
2308.11082,BELONGS_TO,Technology_PrAIoritize
2308.11082,RESEARCH_ON,Task_Automated_Early_Prediction_and_Prioritization_of_Vulnerabilities_in_Smart_Contracts
Technology_Ethereum,BELONGS_TO,Task_Automated_Early_Prediction_and_Prioritization_of_Vulnerabilities_in_Smart_Contracts
Technology_OSS,BELONGS_TO,Task_Automated_Early_Prediction_and_Prioritization_of_Vulnerabilities_in_Smart_Contracts
Technology_PrAIoritize,BELONGS_TO,Task_Automated_Early_Prediction_and_Prioritization_of_Vulnerabilities_in_Smart_Contracts
2207.05359,BELONGS_TO,Technology_NLP
2409.11505,BELONGS_TO,Technology_Natural_Language_Processing
2305.18023,BELONGS_TO,Technology_NLP
2305.18023,PROPOSED,Method_op-k_sampling
2305.18023,PROPOSED,Method_top-p_sampling
Method_op-k_sampling,USES,Technology_NLP
Method_op-k_sampling,IMPROVES,Method_top-p_sampling
Method_top-p_sampling,USES,Technology_NLP
Method_top-p_sampling,IMPROVES,Method_op-k_sampling
2310.17787,PROPOSED,Method_machine_translation
2212.14164,PROPOSED,Method_architecture_enhancement_and_trajectory_optimization
2212.14164,PROPOSED,Method_bootstrapping
Method_architecture_enhancement_and_trajectory_optimization,IMPROVES,Method_bootstrapping
Method_bootstrapping,IMPROVES,Method_architecture_enhancement_and_trajectory_optimization
2408.02337,BELONGS_TO,Technology_AI
2408.02337,PROPOSED,Method_KBQA
2408.02337,PROPOSED,Method_Machine_Reading_Comprehension
2408.02337,PROPOSED,Method_Information_Retrieval
2408.02337,RESEARCH_ON,Task_knowledge_base_question_answering
Method_KBQA,USES,Technology_AI
Method_KBQA,IMPROVES,Method_Machine_Reading_Comprehension
Method_KBQA,IMPROVES,Method_Information_Retrieval
Method_KBQA,EVALUATES,Task_knowledge_base_question_answering
Method_Machine_Reading_Comprehension,USES,Technology_AI
Method_Machine_Reading_Comprehension,IMPROVES,Method_KBQA
Method_Machine_Reading_Comprehension,IMPROVES,Method_Information_Retrieval
Method_Machine_Reading_Comprehension,EVALUATES,Task_knowledge_base_question_answering
Method_Information_Retrieval,USES,Technology_AI
Method_Information_Retrieval,IMPROVES,Method_KBQA
Method_Information_Retrieval,IMPROVES,Method_Machine_Reading_Comprehension
Method_Information_Retrieval,EVALUATES,Task_knowledge_base_question_answering
Technology_AI,BELONGS_TO,Task_knowledge_base_question_answering
2006.00421,BELONGS_TO,Technology_Clickstream_Data
2305.03788,RESEARCH_ON,Task_TurkRadBERT-task_v1
2502.19773,BELONGS_TO,Technology_Natural_Language_Processing
2502.19773,BELONGS_TO,Technology_Deep_Learning
2502.19773,BELONGS_TO,Technology_ATS
2502.19773,PROPOSED,Method_abstractive_summarization
2502.19773,PROPOSED,Method_Extractive_summarization
2502.19773,RESEARCH_ON,Task_ATS
Method_abstractive_summarization,USES,Technology_Natural_Language_Processing
Method_abstractive_summarization,USES,Technology_Deep_Learning
Method_abstractive_summarization,USES,Technology_ATS
Method_abstractive_summarization,IMPROVES,Method_Extractive_summarization
Method_abstractive_summarization,EVALUATES,Task_ATS
Method_Extractive_summarization,USES,Technology_Natural_Language_Processing
Method_Extractive_summarization,USES,Technology_Deep_Learning
Method_Extractive_summarization,USES,Technology_ATS
Method_Extractive_summarization,IMPROVES,Method_abstractive_summarization
Method_Extractive_summarization,EVALUATES,Task_ATS
Technology_Natural_Language_Processing,BELONGS_TO,Task_ATS
Technology_Deep_Learning,BELONGS_TO,Task_ATS
Technology_ATS,BELONGS_TO,Task_ATS
2412.01312,BELONGS_TO,Technology_AI
2309.02188,BELONGS_TO,Technology_MetaMap
2311.15781,BELONGS_TO,Technology_Machine_Translation
2311.15781,BELONGS_TO,Technology_WS
2311.15781,BELONGS_TO,Technology_MT
2311.15781,BELONGS_TO,Technology_Large_Language_Models
2311.15781,PROPOSED,Method_Machine_Translation
Method_Machine_Translation,USES,Technology_Machine_Translation
Method_Machine_Translation,USES,Technology_WS
Method_Machine_Translation,USES,Technology_MT
Method_Machine_Translation,USES,Technology_Large_Language_Models
2307.07887,PROPOSED,Method_background_pixels
2207.11716,BELONGS_TO,Technology_RNNs
2207.11716,BELONGS_TO,Technology_LSTMs
2207.11716,PROPOSED,Method_K-Fold_Cross-Validation
Method_K-Fold_Cross-Validation,USES,Technology_RNNs
Method_K-Fold_Cross-Validation,USES,Technology_LSTMs
2110.04480,BELONGS_TO,Technology_BAS
2005.01204,RESEARCH_ON,Task_On_the_Relationships_Between_the_Grammatical_Genders_of_Inanimate_Nouns_and_Their_Co-Occurring_Adjectives_and_Verbs
2211.12316,BELONGS_TO,Technology_NLP
2010.01027,BELONGS_TO,Technology_Transformer-CNN
2010.01027,PROPOSED,Method_AbsChiSMI
Method_AbsChiSMI,USES,Technology_Transformer-CNN
2110.05006,BELONGS_TO,Technology_CS
2202.13914,BELONGS_TO,Technology_BabyAI
2202.13914,PROPOSED,Method_CrossFit
Method_CrossFit,USES,Technology_BabyAI
2010.01165,BELONGS_TO,Technology_Information_Extraction
2010.01165,PROPOSED,Method_Information_Extraction_(IE)_technologies_to_enable_clinical_analysis._We_present_the_open-source_Medical_Concept_Annotation_Toolkit_(MedCAT)_that_provides:_a)_a_novel_self-supervised_machine_learning_algorithm_for_extracting_concepts_using_any_concept_vocabulary_including_UMLS/SNOMED-CT
Method_Information_Extraction_(IE)_technologies_to_enable_clinical_analysis._We_present_the_open-source_Medical_Concept_Annotation_Toolkit_(MedCAT)_that_provides:_a)_a_novel_self-supervised_machine_learning_algorithm_for_extracting_concepts_using_any_concept_vocabulary_including_UMLS/SNOMED-CT,USES,Technology_Information_Extraction
cs/0208020,PROPOSED,Method_diff
1809.01812,PROPOSED,Method_Noise_Contrastive_Estimation
1809.01812,PROPOSED,Method_NCE
Method_Noise_Contrastive_Estimation,IMPROVES,Method_NCE
Method_NCE,IMPROVES,Method_Noise_Contrastive_Estimation
2002.10931,BELONGS_TO,Technology_Lexical_Conceptual_Structure
2002.10931,PROPOSED,"Method_Natural_language_processing,_computational_sociolinguistics,_and_media-specific_structural_clues"
"Method_Natural_language_processing,_computational_sociolinguistics,_and_media-specific_structural_clues",USES,Technology_Lexical_Conceptual_Structure
2406.09790,PROPOSED,Method_Pcc-tuning
2109.04939,PROPOSED,Method_Modeling_Human_Sentence_Processing_with_Left-Corner_Recurrent_Neural_Network_Grammars
2303.17728,PROPOSED,Method_Interaction_Extraction_Performance_Assessment
1707.03372,BELONGS_TO,Technology_Word_Embeddings
1707.03372,BELONGS_TO,Technology_ImageNet
1707.03372,RESEARCH_ON,Task_Maximum_Inner_Product_Search
Technology_Word_Embeddings,BELONGS_TO,Task_Maximum_Inner_Product_Search
Technology_ImageNet,BELONGS_TO,Task_Maximum_Inner_Product_Search
2211.03923,RESEARCH_ON,Task_Proactive_Detractor_Detection_Framework_Based_on_Message-Wise_Sentiment_Analysis_Over_Customer_Support_Interactions
2007.14654,RESEARCH_ON,Task_Strong_Constraint_Qualifications
2109.07460,PROPOSED,Method_adaptive_tokenization
2311.01684,PROPOSED,Method_answer_space_expansion
2401.15400,BELONGS_TO,Technology_Python
2502.09723,PROPOSED,Method_QueryAttack
2502.09723,RESEARCH_ON,Task_ryAttack
2502.09723,RESEARCH_ON,Task_QueryAttack
Method_QueryAttack,EVALUATES,Task_ryAttack
Method_QueryAttack,EVALUATES,Task_QueryAttack
2004.13823,BELONGS_TO,Technology_Automated_Social_Media_Traffic_Reporting
2004.13823,BELONGS_TO,Technology_Bidirectional_Encoder_Representations_from_Transformers
2004.13823,BELONGS_TO,Technology_NLP
2004.13823,PROPOSED,Method_Automated_Social_Media_Traffic_Reporting
Method_Automated_Social_Media_Traffic_Reporting,USES,Technology_Automated_Social_Media_Traffic_Reporting
Method_Automated_Social_Media_Traffic_Reporting,USES,Technology_Bidirectional_Encoder_Representations_from_Transformers
Method_Automated_Social_Media_Traffic_Reporting,USES,Technology_NLP
2110.08455,BELONGS_TO,Technology_NLP
2407.05750,RESEARCH_ON,Task_natural_language_processing
2406.18776,BELONGS_TO,Technology_AI
2301.08995,BELONGS_TO,Technology_Bi-LSTM+Attention
2301.08995,RESEARCH_ON,Task_REDAffectiveLM
2301.08995,RESEARCH_ON,Task_Bi-LSTM+Attention
Technology_Bi-LSTM+Attention,BELONGS_TO,Task_REDAffectiveLM
Technology_Bi-LSTM+Attention,BELONGS_TO,Task_Bi-LSTM+Attention
2408.10722,BELONGS_TO,Technology_MEGen
2406.11307,BELONGS_TO,Technology_NLP
2406.11307,RESEARCH_ON,Task_An_Empirical_Investigation_of_Matrix_Factorization_Methods_for_Pre-trained_Transformers
Technology_NLP,BELONGS_TO,Task_An_Empirical_Investigation_of_Matrix_Factorization_Methods_for_Pre-trained_Transformers
2307.02783,BELONGS_TO,Technology_BERT+BEiT
2307.02783,RESEARCH_ON,Task_Task_1
2307.02783,RESEARCH_ON,Task_F1-Score
Technology_BERT+BEiT,BELONGS_TO,Task_Task_1
Technology_BERT+BEiT,BELONGS_TO,Task_F1-Score
2408.11832,BELONGS_TO,Technology_Python
2203.09795,BELONGS_TO,Technology_ImageNet-v2
2203.09795,BELONGS_TO,Technology_ImageNet-1k
2304.13009,BELONGS_TO,Technology_Visual_ChatGPT
2304.13009,BELONGS_TO,Technology_LLMs
1807.00571,BELONGS_TO,Technology_NLP
2407.10114,BELONGS_TO,Technology_AI
2010.13369,PROPOSED,Method_Accelerating_Training_of_Transformer-Based_Language_Models_with_Progressive_Layer_Dropping
2410.05047,RESEARCH_ON,Task_Prompt_Injection_Attacks
2410.05047,RESEARCH_ON,Task_slation
2310.12648,PROPOSED,Method_Code-switching
2310.12648,PROPOSED,Method_CS
Method_Code-switching,IMPROVES,Method_CS
Method_CS,IMPROVES,Method_Code-switching
1506.08140,BELONGS_TO,Technology_Ising
1506.08140,RESEARCH_ON,Task_Maximum-Entropy_Inference_with_a_Programmable_Annealer
Technology_Ising,BELONGS_TO,Task_Maximum-Entropy_Inference_with_a_Programmable_Annealer
2404.10097,BELONGS_TO,Technology_LegalPro-BERT
2404.10097,RESEARCH_ON,Task_classification
Technology_LegalPro-BERT,BELONGS_TO,Task_classification
1702.02098,PROPOSED,Method_Fast_and_Accurate_Entity_Recognition_with_Iterated_Dilated_Convolutions
1702.02098,RESEARCH_ON,Task_NER
Method_Fast_and_Accurate_Entity_Recognition_with_Iterated_Dilated_Convolutions,EVALUATES,Task_NER
2204.04497,BELONGS_TO,Technology_Compacter
2204.04497,PROPOSED,Method_Compacter
Method_Compacter,USES,Technology_Compacter
2410.19741,BELONGS_TO,Technology_CRISP-DM
2410.19741,PROPOSED,Method_natural_language_processing_techniques
2410.19741,PROPOSED,Method_CRISP-DM
2410.19741,PROPOSED,Method_supervised_machine_learning
2410.19741,RESEARCH_ON,Task_direct_classification
Method_natural_language_processing_techniques,USES,Technology_CRISP-DM
Method_natural_language_processing_techniques,IMPROVES,Method_CRISP-DM
Method_natural_language_processing_techniques,IMPROVES,Method_supervised_machine_learning
Method_natural_language_processing_techniques,EVALUATES,Task_direct_classification
Method_CRISP-DM,USES,Technology_CRISP-DM
Method_CRISP-DM,IMPROVES,Method_natural_language_processing_techniques
Method_CRISP-DM,IMPROVES,Method_supervised_machine_learning
Method_CRISP-DM,EVALUATES,Task_direct_classification
Method_supervised_machine_learning,USES,Technology_CRISP-DM
Method_supervised_machine_learning,IMPROVES,Method_natural_language_processing_techniques
Method_supervised_machine_learning,IMPROVES,Method_CRISP-DM
Method_supervised_machine_learning,EVALUATES,Task_direct_classification
Technology_CRISP-DM,BELONGS_TO,Task_direct_classification
2410.20916,PROPOSED,Method_fMRI
2410.20916,PROPOSED,Method_EEG
2410.20916,PROPOSED,Method_SEEG
Method_fMRI,IMPROVES,Method_EEG
Method_fMRI,IMPROVES,Method_SEEG
Method_EEG,IMPROVES,Method_fMRI
Method_EEG,IMPROVES,Method_SEEG
Method_SEEG,IMPROVES,Method_fMRI
Method_SEEG,IMPROVES,Method_EEG
2211.02899,BELONGS_TO,Technology_NLP
2211.02899,RESEARCH_ON,Task_Tri-Attention
Technology_NLP,BELONGS_TO,Task_Tri-Attention
2411.01523,BELONGS_TO,Technology_Python
2411.01523,PROPOSED,Method_Python
2411.01523,PROPOSED,Method_text_stripping
2411.01523,PROPOSED,Method_agging
2411.01523,PROPOSED,Method_corpus_processing
2411.01523,PROPOSED,Method_Root_Tagging
Method_Python,USES,Technology_Python
Method_Python,IMPROVES,Method_text_stripping
Method_Python,IMPROVES,Method_agging
Method_Python,IMPROVES,Method_corpus_processing
Method_Python,IMPROVES,Method_Root_Tagging
Method_text_stripping,USES,Technology_Python
Method_text_stripping,IMPROVES,Method_Python
Method_text_stripping,IMPROVES,Method_agging
Method_text_stripping,IMPROVES,Method_corpus_processing
Method_text_stripping,IMPROVES,Method_Root_Tagging
Method_agging,USES,Technology_Python
Method_agging,IMPROVES,Method_Python
Method_agging,IMPROVES,Method_text_stripping
Method_agging,IMPROVES,Method_corpus_processing
Method_agging,IMPROVES,Method_Root_Tagging
Method_corpus_processing,USES,Technology_Python
Method_corpus_processing,IMPROVES,Method_Python
Method_corpus_processing,IMPROVES,Method_text_stripping
Method_corpus_processing,IMPROVES,Method_agging
Method_corpus_processing,IMPROVES,Method_Root_Tagging
Method_Root_Tagging,USES,Technology_Python
Method_Root_Tagging,IMPROVES,Method_Python
Method_Root_Tagging,IMPROVES,Method_text_stripping
Method_Root_Tagging,IMPROVES,Method_agging
Method_Root_Tagging,IMPROVES,Method_corpus_processing
2407.03020,BELONGS_TO,Technology_NLP
2407.03020,RESEARCH_ON,Task_CODAfication
Technology_NLP,BELONGS_TO,Task_CODAfication
2501.04070,BELONGS_TO,Technology_ICL-50
2501.04070,BELONGS_TO,Technology_DrICL
2501.04070,PROPOSED,Method_Differentiated_Learning
2501.04070,PROPOSED,Method_LLMs
Method_Differentiated_Learning,USES,Technology_ICL-50
Method_Differentiated_Learning,USES,Technology_DrICL
Method_Differentiated_Learning,IMPROVES,Method_LLMs
Method_LLMs,USES,Technology_ICL-50
Method_LLMs,USES,Technology_DrICL
Method_LLMs,IMPROVES,Method_Differentiated_Learning
2406.04892,BELONGS_TO,Technology_Natural_Language_Processing
2406.04892,BELONGS_TO,Technology_Deep_Learning
2406.04892,PROPOSED,Method_Natural_Language_Inference
2406.04892,RESEARCH_ON,Task_Natural_Language_Inference
Method_Natural_Language_Inference,USES,Technology_Natural_Language_Processing
Method_Natural_Language_Inference,USES,Technology_Deep_Learning
Method_Natural_Language_Inference,EVALUATES,Task_Natural_Language_Inference
Technology_Natural_Language_Processing,BELONGS_TO,Task_Natural_Language_Inference
Technology_Deep_Learning,BELONGS_TO,Task_Natural_Language_Inference
2312.15020,BELONGS_TO,Technology_BERT
2312.15020,BELONGS_TO,Technology_DL
2312.15020,BELONGS_TO,Technology_Transformers
2312.15020,PROPOSED,Method_DL
2312.15020,PROPOSED,Method_NLP
2312.15020,PROPOSED,Method_Transformers
Method_DL,USES,Technology_BERT
Method_DL,USES,Technology_DL
Method_DL,USES,Technology_Transformers
Method_DL,IMPROVES,Method_NLP
Method_DL,IMPROVES,Method_Transformers
Method_NLP,USES,Technology_BERT
Method_NLP,USES,Technology_DL
Method_NLP,USES,Technology_Transformers
Method_NLP,IMPROVES,Method_DL
Method_NLP,IMPROVES,Method_Transformers
Method_Transformers,USES,Technology_BERT
Method_Transformers,USES,Technology_DL
Method_Transformers,USES,Technology_Transformers
Method_Transformers,IMPROVES,Method_DL
Method_Transformers,IMPROVES,Method_NLP
2502.09390,PROPOSED,Method_chain-of-thought_prompting
2502.09390,RESEARCH_ON,Task_Sequential_Question_Answering_Reasoning_Engine_for_Enhanced_Chain-of-Thought_in_Large_Language_Models
Method_chain-of-thought_prompting,EVALUATES,Task_Sequential_Question_Answering_Reasoning_Engine_for_Enhanced_Chain-of-Thought_in_Large_Language_Models
2210.03265,BELONGS_TO,Technology_Vision_Transformers
2210.03265,PROPOSED,Method_Polyhistor_and_Polyhistor-Lite
Method_Polyhistor_and_Polyhistor-Lite,USES,Technology_Vision_Transformers
2305.11442,PROPOSED,Method_self-supervised_tuning
2404.04997,BELONGS_TO,Technology_SoftPromptComp
2404.04997,BELONGS_TO,Technology_NLP
2404.04997,PROPOSED,Method_SoftPromptComp
2404.04997,PROPOSED,Method_soft_prompts_and_summarization_techniques
Method_SoftPromptComp,USES,Technology_SoftPromptComp
Method_SoftPromptComp,USES,Technology_NLP
Method_SoftPromptComp,IMPROVES,Method_soft_prompts_and_summarization_techniques
Method_soft_prompts_and_summarization_techniques,USES,Technology_SoftPromptComp
Method_soft_prompts_and_summarization_techniques,USES,Technology_NLP
Method_soft_prompts_and_summarization_techniques,IMPROVES,Method_SoftPromptComp
2403.09762,BELONGS_TO,Technology_Natural_Language_Processing
2403.09762,BELONGS_TO,Technology_AI
